person_id,postcode,state,gender,age,account_type,loyal_customer
106-35-6779,822,NT,F,[20-24],p_loan,false
109-28-2512,******,NSW,M,[30-34],debit,false
120-06-4233,822,NT,F,[40-44],credit,true
123-19-1176,2000,WA,M,[30-34],credit,false
129-29-8530,2000,WA,M,[30-34],debit,false
132-32-9879,******,NSW,F,[20-24],debit,false
145-94-9061,822,NT,F,[40-44],credit,true
149-71-6266,******,NSW,F,[20-24],credit,false
152-08-9985,2000,WA,M,[30-34],credit,false
162-48-8011,822,NT,M,[50-54],credit,false
183-56-6882,2000,WA,M,[30-34],credit,false
199-75-8169,2000,WA,M,[30-34],credit,false
225-32-0908,******,NSW,F,[20-24],credit,false
226-31-3081,******,NSW,F,[20-24],credit,false
227-03-5010,822,NT,M,[20-24],p_loan,false
228-96-1411,******,NSW,F,[40-44],debit,false
232-11-3025,******,NSW,M,[20-24],debit,true
232-16-2483,2000,WA,M,[30-34],credit,false
242-55-6721,822,NT,M,[50-54],p_loan,false
252-56-2699,******,NSW,F,[40-44],debit,false
263-10-3913,******,NSW,F,[20-24],debit,false
272-65-1806,******,NSW,M,[30-34],debit,true
273-16-6619,822,NT,M,[50-54],p_loan,false
280-35-5823,******,NSW,M,[20-24],debit,false
285-68-5083,******,NSW,F,[20-24],credit,false
287-21-9091,******,NSW,F,[40-44],debit,false
300-71-4605,822,NT,M,[50-54],credit,false
315-22-5665,******,NSW,M,[30-34],debit,false
318-68-5053,822,NT,F,[40-44],credit,false
319-50-3348,822,NT,F,[50-54],credit,false
326-78-5178,822,NT,M,[50-54],credit,false
329-62-1586,822,NT,F,[20-24],credit,false
333-73-7901,******,NSW,M,[20-24],debit,false
347-34-2234,******,NSW,M,[30-34],credit,false
351-62-0822,******,NSW,M,[20-24],debit,false
354-25-5821,******,NSW,F,[40-44],debit,false
355-53-5943,2000,WA,M,[30-34],debit,false
360-39-5055,822,NT,M,[50-54],p_loan,false
362-58-8315,822,NT,F,[20-24],p_loan,false
365-64-0515,******,NSW,F,[40-44],debit,false
370-41-7321,******,NSW,F,[20-24],debit,false
371-85-5789,822,NT,M,[50-54],credit,false
373-73-7910,2000,WA,M,[30-34],credit,false
381-20-0914,822,NT,F,[20-24],credit,false
382-03-4532,******,NSW,M,[20-24],debit,false
393-65-2792,******,NSW,M,[20-24],debit,false
399-46-5918,822,NT,M,[20-24],p_loan,false
480-63-2856,822,NT,M,[50-54],p_loan,false
504-35-8843,822,NT,F,[40-44],credit,false
510-95-6347,******,NSW,F,[40-44],debit,false
512-91-0811,2000,WA,M,[30-34],credit,false
529-56-3974,******,NSW,F,[20-24],debit,false
549-59-1358,822,NT,M,[50-54],p_loan,false
554-53-8700,******,NSW,F,[20-24],debit,false
565-80-5980,******,NSW,F,[20-24],credit,false
574-22-5561,822,NT,F,[50-54],credit,false
595-11-5460,2000,WA,M,[30-34],credit,false
616-24-2851,822,NT,M,[50-54],p_loan,false
617-15-4209,******,NSW,F,[40-44],debit,false
631-41-3108,******,NSW,M,[30-34],credit,false
633-44-8566,822,NT,F,[40-44],credit,false
635-40-6220,822,NT,F,[40-44],credit,false
636-48-8204,822,NT,M,[50-54],p_loan,false
640-49-2076,******,NSW,M,[30-34],credit,false
649-29-6775,822,NT,F,[20-24],p_loan,false
656-95-9349,******,NSW,F,[20-24],debit,false
665-32-9167,******,NSW,M,[20-24],debit,false
669-54-1719,822,NT,F,[20-24],credit,false
692-92-5582,******,NSW,M,[20-24],debit,false
699-14-3026,2000,WA,M,[30-34],credit,false
727-46-3608,822,NT,F,[20-24],credit,false
730-50-9884,822,NT,M,[20-24],p_loan,false
732-94-0499,******,NSW,F,[20-24],debit,false
756-01-7507,822,NT,F,[50-54],credit,false
765-26-6951,822,NT,F,[20-24],credit,false
766-85-7061,2000,WA,M,[30-34],debit,false
777-82-7220,******,NSW,M,[20-24],debit,false
778-71-5554,822,NT,M,[50-54],p_loan,false
787-56-0757,822,NT,M,[50-54],p_loan,false
796-12-2025,******,NSW,F,[20-24],debit,false
803-83-5989,******,NSW,F,[20-24],credit,false
817-48-8732,822,NT,F,[40-44],credit,false
829-34-3910,******,NSW,F,[40-44],debit,false
829-49-1914,822,NT,F,[20-24],credit,false
838-78-4295,2000,WA,M,[30-34],debit,false
841-35-6630,******,NSW,F,[40-44],debit,false
847-38-7188,822,NT,M,[50-54],credit,false
848-62-7243,822,NT,F,[40-44],credit,false
853-23-2453,2000,WA,M,[30-34],credit,false
865-92-6136,******,NSW,M,[20-24],debit,false
870-72-4431,822,NT,M,[50-54],credit,false
871-39-9221,******,NSW,M,[30-34],debit,false
871-79-8483,******,NSW,F,[20-24],credit,false
873-51-0671,******,NSW,M,[30-34],credit,false
877-22-3308,2000,WA,M,[30-34],credit,false
