data,id
750-67-8428,PID01
226-31-3081,PID02
631-41-3108,PID03
123-19-1176,PID04
373-73-7910,PID05
699-14-3026,PID06
355-53-5943,PID07
315-22-5665,PID08
665-32-9167,PID09
692-92-5582,PID10
351-62-0822,PID11
529-56-3974,PID12
365-64-0515,PID13
252-56-2699,PID14
829-34-3910,PID15
299-46-1805,PID16
656-95-9349,PID17
765-26-6951,PID18
329-62-1586,PID19
319-50-3348,PID20
300-71-4605,PID21
371-85-5789,PID22
273-16-6619,PID23
636-48-8204,PID24
549-59-1358,PID25
227-03-5010,PID26
649-29-6775,PID27
189-17-4241,PID28
145-94-9061,PID29
848-62-7243,PID30
871-79-8483,PID31
149-71-6266,PID32
640-49-2076,PID33
595-11-5460,PID34
183-56-6882,PID35
232-16-2483,PID36
129-29-8530,PID37
272-65-1806,PID38
333-73-7901,PID39
777-82-7220,PID40
280-35-5823,PID41
554-53-8700,PID42
354-25-5821,PID43
228-96-1411,PID44
617-15-4209,PID45
132-32-9879,PID46
370-41-7321,PID47
727-46-3608,PID48
669-54-1719,PID49
574-22-5561,PID50
326-78-5178,PID51
162-48-8011,PID52
616-24-2851,PID53
778-71-5554,PID54
242-55-6721,PID55
399-46-5918,PID56
106-35-6779,PID57
635-40-6220,PID58
817-48-8732,PID59
120-06-4233,PID60
285-68-5083,PID61
803-83-5989,PID62
347-34-2234,PID63
199-75-8169,PID64
853-23-2453,PID65
877-22-3308,PID66
838-78-4295,PID67
109-28-2512,PID68
232-11-3025,PID69
382-03-4532,PID70
393-65-2792,PID71
796-12-2025,PID72
510-95-6347,PID73
841-35-6630,PID74
287-21-9091,PID75
732-94-0499,PID76
263-10-3913,PID77
381-20-0914,PID78
829-49-1914,PID79
756-01-7507,PID80
870-72-4431,PID81
847-38-7188,PID82
480-63-2856,PID83
787-56-0757,PID84
360-39-5055,PID85
730-50-9884,PID86
362-58-8315,PID87
633-44-8566,PID88
504-35-8843,PID89
318-68-5053,PID90
565-80-5980,PID91
225-32-0908,PID92
873-51-0671,PID93
152-08-9985,PID94
512-91-0811,PID95
594-34-4444,PID96
766-85-7061,PID97
871-39-9221,PID98
865-92-6136,PID99
700-67-0000,PID100
206-31-0000,PID101
601-41-0000,PID102
103-19-0000,PID103
303-73-0000,PID104
609-14-0000,PID105
305-53-0000,PID106
305-22-0000,PID107
605-32-0000,PID108
602-92-0000,PID109
301-62-0000,PID110
509-56-0000,PID111
305-64-0000,PID112
202-56-0000,PID113
809-34-0000,PID114
209-46-0000,PID115
******,PC000
2000,PC01
822,PC02
NSW,ST01
WA,ST02
NT,ST03
F,G01
M,G02
